source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error
,2017,"Toward Socially Aware Robot Navigation in Dynamic and Crowded
   Environments: A Proactive Social Motion Model","Safe and social navigation is the key to deploying a mobile service
   robot in a human-centered environment. Widespread acceptability of
   mobile service robots in daily life is hindered by robot's inability to
   navigate in crowded and dynamic human environments in a socially
   acceptable way that would guarantee human safety and comfort. In this
   paper, we propose an effective proactive social motion model (PSMM) that
   enables a mobile service robot to navigate safely and socially in
   crowded and dynamic environments. The proposed method considers not only
   human states (position, orientation, motion, field of view, and hand
   poses) relative to the robot but also social interactive information
   about human-object and human group interactions. This allows development
   of the PSMM that consists of elements of an extended social force model
   and a hybrid reciprocal velocity obstacle technique. The PSMM is then
   combined with a path planning technique to generate a motion planning
   system that drives a mobile robot in a socially acceptable manner and
   produces respectful and polite behaviors akin to human movements.
   Note to Practitioners-In this paper, we validated the effectiveness and
   feasibility of the proposed proactive social motion model (PSMM) through
   both simulation and real-world experiments under the newly proposed
   human comfortable safety indices. To do that, we first implemented the
   entire navigation system using the open-source robot operating system.
   We then installed it in a simulated robot model and conducted
   experiments in a simulated shopping mall-like environment to verify its
   effectiveness. We also installed the proposed algorithm on our mobile
   robot platform and conducted experiments in our office-like laboratory
   environment. Our results show that the developed socially aware
   navigation framework allows a mobile robot to navigate safely, socially,
   and proactively while guaranteeing human safety and comfort in crowded
   and dynamic environments.
   In this paper, we examined the proposed PSMM with a set of predefined
   parameters selected based on our empirical experiences about the robot
   mechanism and selected social environment. However, in fact a mobile
   robot might need to adapt to various contextual and cultural situations
   in different social environments. Thus, it should be equipped with an
   online adaptive interactive learning mechanism allowing the robot to
   learn to auto-adjust their parameters according to such embedded
   environments. Using machine learning techniques, e.g., inverse
   reinforcement learning {[}1] to optimize the parameter set for the PSMM
   could be a promising research direction to improve adaptability of
   mobile service robots in different social environments.
   In the future, we will evaluate the proposed framework based on a wider
   variety of scenarios, particularly those with different social
   interaction situations and dynamic environments. Furthermore, various
   kinds of social cues and signals introduced in {[}2] and {[}3] will be
   applied to extend the proposed framework in more complicated social
   situations and contexts. Last but not least, we will investigate
   different machine learning techniques and incorporate them in the PSMM
   in order to allow the robot to automatically adapt to diverse social
   environments.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2017.2731371,,,,Xuan-Tung Truong and Trung Dung Ngo,,146.0,WOS:000412500600017,,,paper,toward socially aware robot navigation in dynamic and crowded environments a proactive social motion model,10.1109/tase.2017.2731371,https://doi.org/10.1109/tase.2017.2731371,https://doi.org/10.1109/tase.2017.2731371,164.866,citations=146; year=2017; risk_terms=2; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2017.2731371,True,202.0,https://ieeexplore.ieee.org/document/8011466/,text/html; charset=UTF-8,
,2025,"From Mathematical Modeling and Simulation to Digital Twins: Bridging
   Theory and Digital Realities in Industry and Emerging Technologies","Featured Application The concepts discussed outline how mathematical
   modeling, real-time simulation, and data-driven optimization can be
   integrated to develop self-adaptive digital twins for smart
   manufacturing applications such as additive manufacturing and process
   automation. This work highlights how such digital twins can improve
   operational resilience, efficiency, and product customization.Abstract
   Against the background of the unprecedented advancements related to
   Industry 4.0 and beyond, transitioning from classical mathematical
   models to fully embodied digital twins represents a critical change in
   the planning, monitoring, and optimization of complex industrial
   systems. This work outlines the subject within the broader field of
   applied mathematics and computational simulation while highlighting the
   critical role of sound mathematical foundations, numerical
   methodologies, and advanced computational tools in creating
   data-informed virtual models of physical infrastructures and processes
   in real time. The discussion includes examples related to smart
   manufacturing, additive manufacturing technologies, and cyber-physical
   systems with a focus on the potential for collaboration between
   physics-informed simulations, data unification, and hybrid machine
   learning approaches. Central issues including a lack of scalability,
   measuring uncertainties, interoperability challenges, and ethical
   concerns are discussed along with rising opportunities for
   multi/macrodisciplinary research and innovation. This work argues in
   favor of the continued integration of advanced mathematical approaches
   with state-of-the-art technologies including artificial intelligence,
   edge computing, and fifth-generation communication networks with a focus
   on deploying self-regulating autonomous digital twins. Finally,
   defeating these challenges via effective collaboration between academia
   and industry will provide unprecedented society- and economy-wide
   benefits leading to resilient, optimized, and intelligent systems that
   mark the future of critical industries and services.",APPLIED SCIENCES-BASEL,,Review,10.3390/app15169213,,,,"Kantaros, Antreas and Ganetsos, Theodore and Pallis, Evangelos and
   Papoutsidakis, Michail",,16.0,WOS:001557258100001,,,paper,from mathematical modeling and simulation to digital twins bridging theory and digital realities in industry and emerging technologies,10.3390/app15169213,https://doi.org/10.3390/app15169213,https://doi.org/10.3390/app15169213,164.665,citations=16; year=2025; risk_terms=1; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.3390/app15169213,False,403.0,https://www.mdpi.com/2076-3417/15/16/9213,text/html,
,2024,"Radar/visual fusion with fuse-before-track strategy for low altitude
   non-cooperative sense and avoid","Non-cooperative Sense and Avoid is a critical technology for the safety
   and autonomy of Unmanned Aerial Vehicles (UAV). Standalone sensing
   solutions, i.e., only based on either visual cameras or radars,
   encounter challenges especially for vehicles flying at low altitude. To
   overcome this limit, sensor fusion strategies can play a key role. In
   this framework, this paper proposes a two-step radar/visual sensor
   fusion approach taking place both at detection and tracking level. The
   first step, named ``Fuse-Before-Track{''}, consists in jointly using
   radar information and visual detections (provided by Convolutional
   Neural Network-based detectors) to remove uninteresting radar echoes
   thus improving ground clutter removal and speeding up the radar
   processing pipeline. At the second level, tracking takes place by
   exploiting the previously retrieved (confirmed) radar measurements and
   fusing visual detections to improve the solution accuracy. The proposed
   approach is tested on data collected during experimental flight tests
   where a ground-fixed multi -sensor setup (integrating a low size weight
   and power radar and a daylight camera) is used to detect and track a
   small UAV manually piloted to carry out approaching manoeuvres.
   Detection and tracking performance is assessed using, as a benchmark, a
   cm-level relative positioning solution retrieved by means of Carrier
   Phase Differential GNSS techniques. The implemented detection-level
   fusion approach ensures radar detection accuracy of meter level and
   meter-per-second level on range and range rate, respectively. In
   addition, the second level of fusion allows attaining sub-degree level
   errors in the angular and angular rates estimates at a tracking stage.
   Tracking data are finally used for conflict threat assessment, i.e., to
   get estimates of the distance and time at closest point of approach,
   with mean errors on the former of about 10 m in most encounters when the
   latter falls below 50 s.",AEROSPACE SCIENCE AND TECHNOLOGY,,Article,10.1016/j.ast.2024.108946,,,,"Vitiello, Federica and Causa, Flavia and Opromolla, Roberto and Fasano,
   Giancarmine",,16.0,WOS:001182618400001,,,paper,radar visual fusion with fuse before track strategy for low altitude non cooperative sense and avoid,10.1016/j.ast.2024.108946,https://doi.org/10.1016/j.ast.2024.108946,https://doi.org/10.1016/j.ast.2024.108946,164.665,citations=16; year=2024; risk_terms=2; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.ast.2024.108946,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S1270963824000798,text/html;charset=UTF-8,
,2022,"Advances in Artificial Intelligence Methods Applications in Industrial
   Control Systems: Towards Cognitive Self-Optimizing Manufacturing Systems","Industrial control systems play a central role in today's manufacturing
   systems. Ongoing trends towards more flexibility and sustainability,
   while maintaining and improving production capacities and productivity,
   increase the complexity of production systems drastically. To cope with
   these challenges, advanced control algorithms and further developments
   are required. In recent years, developments in Artificial Intelligence
   (AI)-based methods have gained significantly attention and relevance in
   research and the industry for future industrial control systems.
   AI-based approaches are increasingly explored at various industrial
   control systems levels ranging from single automation devices to the
   real-time control of complex machines, production processes and overall
   factories supervision and optimization. Thereby, AI solutions are
   exploited with reference to different industrial control applications
   from sensor fusion methods to novel model predictive control techniques,
   from self-optimizing machines to collaborative robots, from factory
   adaptive automation systems to production supervisory control systems.
   The aim of the present perspective paper is to provide an overview of
   novel applications of AI methods to industrial control systems on
   different levels, so as to improve the production systems' self-learning
   capacities, their overall performance, the related process and product
   quality, the optimal use of resources and the industrial systems safety,
   and resilience to varying boundary conditions and production requests.
   Finally, major open challenges and future perspectives are addressed.",APPLIED SCIENCES-BASEL,,Article,10.3390/app122110962,,,,"Carpanzano, Emanuele and Knuettel, Daniel",,29.0,WOS:000881013700001,,,paper,advances in artificial intelligence methods applications in industrial control systems towards cognitive self optimizing manufacturing systems,10.3390/app122110962,https://doi.org/10.3390/app122110962,https://doi.org/10.3390/app122110962,164.617,citations=29; year=2022; risk_terms=2; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.3390/app122110962,False,403.0,https://www.mdpi.com/2076-3417/12/21/10962,text/html,
,2025,"CNN-GWO-voting \& hybrid: ensemble learning inspired intrusion detection
   approaches for cyber-physical systems","Cyber threats are increasingly dynamic and sophisticated, often
   surpassing the capabilities of conventional intrusion detection systems
   (IDSs). Current IDSs for cyber-physical systems (CPSs) face limitations
   such as high computational complexity, low detection accuracy, and
   elevated false positive rates. To address these challenges, two novel
   IDS approaches inspired by ensemble learning are being proposed. The
   first approach, CNN-GWO-Voting, combines deep learning, evolutionary
   optimization, and ensemble learning to enhance effectiveness. This
   approach introduces a novel hybrid model design with soft voting
   mechanism and a novel fitness function to optimize attribute selection,
   distinguishing it from existing models. In this approach, a
   convolutional neural network (CNN) is used for feature extraction, a
   gray-wolf optimizer (GWO) for the selecting optimal attack relevant
   features, and a soft voting mechanism to blend predictions from four
   base classifiers: random forest, support vector machine (SVM), decision
   tree and XGBoost. Evaluated on the CIC-IoT-2023 dataset, this model
   achieves high accuracy (99.15\%), precision (0.99), recall (0.99),
   F1-score (0.99), FPR (0.008), and FNR (0.008) while selecting only 15 of
   46 features, significantly reducing computational complexity. The second
   approach introduces a hybrid comprehensive ensemble classifier for
   binary classification, utilizing logistic regression, na \& iuml;ve
   bayes, SVM, k-nearest neighbour, and multilayer perceptron as base
   classifiers, with ensemble technique such as voting, stacking, bagging,
   and boosting. On the CIC-IoT-2023 dataset, boosting yielded the best
   results with i.e. accuracy (98.16\%), precision (0.99), recall (0.98),
   and F1-score (0.98). Both proposed approaches not only outperform the
   recent advanced techniques but also introduce significant improvements
   in feature extraction, optimization, and ensemble methodologies tailored
   specifically for the CPSs security.",PROCEEDINGS OF THE INDIAN NATIONAL SCIENCE ACADEMY,,Article,10.1007/s43538-024-00372-0,,,,"Ji, Ram and Kumar, Neerendra and Padha, Devanand",,23.0,WOS:001363254700001,,,paper,cnn gwo voting hybrid ensemble learning inspired intrusion detection approaches for cyber physical systems,10.1007/s43538-024-00372-0,https://doi.org/10.1007/s43538-024-00372-0,https://doi.org/10.1007/s43538-024-00372-0,164.493,citations=23; year=2025; risk_terms=2; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s43538-024-00372-0,True,200.0,https://link.springer.com/article/10.1007/s43538-024-00372-0,text/html; charset=utf-8,
,2024,"Critic learning control via zero-sum differential game for affine
   formation maneuver of multi-agent systems with cyber-attacks","The affine formation maneuver (AFM) control problem using the zero-sum
   differential game is studied for a second-order multi-agent system (MAS)
   against cyber-injection attacks on the actuators. First and foremost,
   the distributed control signals and the cyber-injected attack signals
   are viewed as two competing teams. Then, the leader-follower tracking
   error system is established where the followers aim to track the AFMs of
   the leaders. The leader-follower distributed optimal control policies
   and the cyber-attack attenuation policies are derived from the Nash
   equilibrium solution of the Hamilton-Jacobi-Isaac (HJI) equation. The
   solution of the HJI equation is estimated with the aid of the critic
   neural network. The weights of the critic system are learned online
   based on the adaptive dynamic programming (ADP) scheme. The uniformly
   ultimately bounded stability of the closed-loop system under the
   formulated zero-sum differential game control strategy has been proven
   by the Lyapunov stability theorem. A simulation example illustrates that
   the presented control method can attenuate cyber-injection attacks on
   the actuators and maintain the AFMs of the agents.",INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,,Article,10.1080/00207721.2024.2343733,,,,"Maaruf, Muhammad and El-Ferik, Sami and Saif, Abdulwahed Abdulaziz",,23.0,WOS:001224662400001,,,paper,critic learning control via zero sum differential game for affine formation maneuver of multi agent systems with cyber attacks,10.1080/00207721.2024.2343733,https://doi.org/10.1080/00207721.2024.2343733,https://doi.org/10.1080/00207721.2024.2343733,164.493,citations=23; year=2024; risk_terms=1; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1080/00207721.2024.2343733,False,403.0,https://www.tandfonline.com/doi/full/10.1080/00207721.2024.2343733,text/html; charset=UTF-8,
,2023,"Multi-Scale Feature Fusion Convolutional Neural Networks for Fault
   Diagnosis of Electromechanical Actuator","Airborne electromechanical actuators (EMAs) play a key role in the
   flight control system, and their health condition has a considerable
   impact on the flight status and safety of aircraft. Considering the
   multi-scale feature of fault signals and the fault diagnosis reliability
   for EMAs under complex working conditions, a novel fault diagnosis
   method of multi-scale feature fusion convolutional neural network
   (MSFFCNN) is proposed. Leveraging the multiple different scales'
   learning structure and attention mechanism-based feature fusion, the
   fault-related information can be effectively captured and learned,
   thereby improving the recognition ability and diagnostic performance of
   the network. The proposed method was evaluated by experiments and
   compared with the other three fault-diagnosis algorithms. The results
   show that the proposed MSFFCNN approach has a better diagnostic
   performance compared with the state-of-the-art fault diagnosis methods,
   which demonstrates the effectiveness and superiority of the proposed
   method.",APPLIED SCIENCES-BASEL,,Article,10.3390/app13158689,,,,"Song, Yutong and Du, Jinhua and Li, Shixiao and Long, Yun and Liang,
   Deliang and Liu, Yifeng and Wang, Yao",,17.0,WOS:001045419300001,,,paper,multi scale feature fusion convolutional neural networks for fault diagnosis of electromechanical actuator,10.3390/app13158689,https://doi.org/10.3390/app13158689,https://doi.org/10.3390/app13158689,164.465,citations=17; year=2023; risk_terms=4; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.3390/app13158689,False,403.0,https://www.mdpi.com/2076-3417/13/15/8689,text/html,
,2025,"EEG-Based Inverse Reinforcement Learning for Safety-Oriented Global Path
   Planning in Dynamic Environments","Recent advancements in lightweight electroencephalogram(EEG) signal
   classification have enabled real-time human-robot interaction, yet
   challenges persist in balancing computational efficiency and safety in
   dynamic path planning. This study proposes an EEG-based inverse
   reinforcement learning (EIRL) framework to simulate human navigation
   strategies by decoding neural decision preferences. The method
   integrates a pruned WNFG-SSCCNet-ADMM classifier for EEG signal mapping,
   apprenticeship learning for reward function extraction, and Q-learning
   for policy optimization. Experimental validation in an 8 x 8
   FrozenLake-v1 environment demonstrates that EIRL reduces average path
   risk values by 50\% compared with traditional reinforcement learning,
   achieving expert-level safety (Delta = 4) while maintaining optimal path
   lengths. The framework enhances adaptability in unknown environments by
   embedding human-like risk aversion into robotic planning, offering a
   robust solution for applications requiring minimal prior environmental
   knowledge. Results highlight the synergy between neural feedback and
   computational models, advancing inclusive human-robot collaboration in
   safety-critical scenarios.",APPLIED SCIENCES-BASEL,,Article,10.3390/app15116163,,,,"Zhu, Hao and Wang, Jialin and Gao, Rui",,3.0,WOS:001505757400001,,,paper,eeg based inverse reinforcement learning for safety oriented global path planning in dynamic environments,10.3390/app15116163,https://doi.org/10.3390/app15116163,https://doi.org/10.3390/app15116163,164.408,citations=3; year=2025; risk_terms=4; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.3390/app15116163,False,403.0,https://www.mdpi.com/2076-3417/15/11/6163,text/html,
,2025,"Gas pipeline leakage detection based on multiple multimodal deep feature
   selections and optimized deep forest classifier","Gas pipeline leaks contribute to one-third of methane emissions
   annually, posing environmental damage and safety risks. However,
   accurate and timely detection of the leak presents several challenges,
   including remote and inaccessible environments, low accuracy and
   efficiency, and high hardware and labor costs. To address these
   challenges, we propose a gas pipeline leakage detection architecture
   based on multiple multimodal deep feature selections and the optimized
   Improved Deep Forest Classifier (IDFC). First, the multimodal data,
   thermal images and gas sensor data, are pre-processed. Then a deep
   feature pool is constructed using the selected Convolutional Neural
   Network (CNN) models, including AlexNet, ResNet-50, MobileNet, VggNet,
   and EfficientNet, as well as their inner layers. Aided by the heatmaps
   created using Gradient-weighted Class Activation Mapping (Grad-CAM), a
   visualization-based primary feature selection is applied to determine
   the best features to form an initial CNN pool. The output of the
   flattened features from this CNN pool is then fed into the IDFC for
   classification. Hyperparameters of the base learners are then selected
   for an explainable and enhanced diversity tree-structured deep forest
   classifier, using the selected multimodal features as inputs. Finally,
   the Accuracy-Size Comprehensive Indicator (ASCI) is introduced for the
   secondary feature selection and the optimized deep forest classifier
   construction, which balances the model accuracy and size and reduces
   hardware resource requirements. Using the simulated testing dataset
   created for this research, our architecture demonstrated superior
   accuracy (98.9\%) and deployability with its lower model size (115 MB).
   This lightweight AI architecture is successfully deployed on a soft
   robotic system for real-time gas leak detection. Our proposed
   architecture is also extensible to other environmental hazard detection
   situations, such as liquid leaks in the pipelines.",FRONTIERS IN ENVIRONMENTAL SCIENCE,,Article,10.3389/fenvs.2025.1569621,,,,"Zhang, Eddie and Zhang, Evan",,3.0,WOS:001488149100001,,,paper,gas pipeline leakage detection based on multiple multimodal deep feature selections and optimized deep forest classifier,10.3389/fenvs.2025.1569621,https://doi.org/10.3389/fenvs.2025.1569621,https://doi.org/10.3389/fenvs.2025.1569621,164.408,citations=3; year=2025; risk_terms=5; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.3389/fenvs.2025.1569621,True,200.0,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2025.1569621/full,text/html;charset=utf-8,
,2024,"Data-driven integrated study on operational performance degradation
   detection and recovery control of VFDR","The Variable Flow Ducted Rocket (VFDR) serves as the preferred
   propulsion system for hypersonic aircraft. However, it is prone to
   health degradation issues due to component failures, aging, and changes
   in operational conditions, which significantly challenge flight safety.
   This study introduces a data-driven integrated control approach for
   modeling, diagnosing, and remedying performance deterioration.
   Initially, a method for open-set modeling of performance degradation is
   developed using the Linear Parameter-Varying (LPV) modeling technique
   and gap metric theory, tackling the hurdles of data collection,
   overlapping fault classes, and modeling of unidentified faults in the
   VFDR system; thus, providing vital data support for detecting
   performance degradation. Moreover, employing the LPV model for
   performance degradation, a hybrid deep neural network combining
   multi-scale CNN and LSTM is trained to diagnose system performance
   issues online using multi-dimensional time-domain sequential data.
   Subsequently, a smooth transition control method utilizing sliding mode
   compensation is applied to regain control of system performance based on
   diagnostic outcomes and a preestablished VFDR performance recuperation
   controller. Simulations of three types of performance deterioration
   scenarios caused by changes in actuators, sensors, and the system's
   operational environment are conducted to demonstrate the efficiency of
   the proposed approach. The simulation outcomes affirm that the proposed
   approach is capable of effectively modeling system performance
   deterioration, diagnosing faults, and controlling recovery, offering
   promising technical support for the secure operation of intricate
   closed-loop control systems with stringent precision and reliability
   requirements.",AEROSPACE SCIENCE AND TECHNOLOGY,,Article,10.1016/j.ast.2024.109064,,,,"Zhang, Zongyu and Zeng, Qinghua and Tang, Meng and Ye, Xiaoyu and Zhang,
   Jie",,3.0,WOS:001226220000001,,,paper,data driven integrated study on operational performance degradation detection and recovery control of vfdr,10.1016/j.ast.2024.109064,https://doi.org/10.1016/j.ast.2024.109064,https://doi.org/10.1016/j.ast.2024.109064,164.408,citations=3; year=2024; risk_terms=5; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.ast.2024.109064,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S1270963824001974,text/html;charset=UTF-8,
,2024,"AI-Driven Intelligent Data Analytics and Predictive Analysis in Industry
   4.0: Transforming Knowledge, Innovation, and Efficiency","In the era of Industry 4.0, integrating digital technologies into
   industrial processes has become imperative for sustaining growth and
   fostering innovation. This research paper explores the profound impact
   of AI-driven intelligent data analytics and predictive analysis on
   economic efficiency and managerial practices within Industry 4.0. With a
   focus on knowledge, innovation, technology, and society, this study
   delves into the transformative potential of these advanced technologies.
   Intelligent data analytics, powered by artificial intelligence (AI), has
   revolutionized the way industries harness vast datasets. Uncovering
   real-time patterns, correlations, and opportunities empowers
   decision-makers with accurate and timely insights. Predictive analysis,
   rooted in statistics and machine learning, aids in forecasting trends
   and managing risks, offering economic stability across sectors. Using a
   mixed-methods approach, the study combines qualitative interviews with
   19 Chinese operations managers and quantitative data from an online
   survey of 286 managers. The study ranks various Industry 4.0
   technologies through ordinal regression based on their impact on
   environmental sustainability and economic management. Results show that
   smart sensors, radio-frequency identification, AI, and analytics are the
   most influential technologies for enhancing economic and environmental
   outcomes. Conversely, technologies like additive manufacturing and
   automated robots yield less favorable results. The study also identifies
   a noticeable gap in professionals' understanding and adoption of AI and
   augmented reality. Environmental concerns around the disposal of
   electronic waste generated by these technologies are also highlighted.
   The research thus offers significant insights for companies seeking to
   adopt intelligent data analytics to enhance economic performance and
   environmental sustainability. On the managerial front, the fusion of
   these technologies enables agile and responsive frameworks, promoting
   dynamic strategies in response to changing market dynamics. This culture
   of continual improvement fosters excellence and foresight in managerial
   processes. However, challenges exist, including the underutilization of
   data, data complexity, historical biases, and the need for tailored AI
   solutions across industries. Ethical considerations, data privacy, and
   security also pose concerns. Collaborative innovation among stakeholders
   is crucial to addressing these challenges and seizing opportunities.
   Governments, academia, and industry players must collaborate to develop
   technologically advanced, economically viable, and socially responsible
   solutions. As industries transition to Industry 4.0, this paper
   advocates a critical approach that embraces technology's potential while
   mitigating risks. The future lies in a technologically advanced,
   economically resilient, and socially inclusive industrial landscape
   driven by AI-powered knowledge and innovation.",JOURNAL OF THE KNOWLEDGE ECONOMY,,Article; Early Access,10.1007/s13132-024-02001-z,,,,"Zong, Zhijuan and Guan, Yu",,141.0,WOS:001216058900003,,,paper,ai driven intelligent data analytics and predictive analysis in industry 4 0 transforming knowledge innovation and efficiency,10.1007/s13132-024-02001-z,https://doi.org/10.1007/s13132-024-02001-z,https://doi.org/10.1007/s13132-024-02001-z,164.382,citations=141; year=2024; risk_terms=5; physical_terms=4,https://doi.org/10.1007/s13132-024-02001-z,True,200.0,https://link.springer.com/article/10.1007/s13132-024-02001-z,text/html; charset=utf-8,
,2023,"Path planning algorithm of robot arm based on improved RRT{*} and BP
   neural network algorithm","To address the issues of slow motion planning, low efficiency, and high
   path calculation cost of the six-degrees of freedom manipulator in three
   dimensional multi-obstacle narrow space, a path planning method of the
   manipulator based on Back Propagation (BP) neural network and improved
   Rapidly expanding Random Tree{*} (RRT{*}) algorithm is proposed
   (referred to as BP-RRT{*}). Due to the spherical envelope of the
   obstacle, this method evaluates the connection between the path and
   obstacle in space using the triangular function and identifies the
   collision-free path in 3D space. Then, using the sampling space
   division, obstacles discretization, and distance weight function, the
   adaptive node sampling proability method of RRT{*} algorithm in space is
   proposed, to reduce unnecessary sampling nodes and optimize the sampling
   efficiency; because the sampling nodes might fall into the area with
   dense obstacles, which results in significant increase in the search
   time. A stepwise sampling method is proposed to mod-ify the global
   search into a phased local search, train the BP neural network model,
   forecast the number of node samples in the local search at each stage,
   automatically guide the algorithm into the next stage to complete the
   search, and improve the path optimization efficiency. Finally, the
   simulation experiment of the improved BP-RRT{*} algorithm is executed on
   the Python and Robot Operating System, and the physical experiment is
   done on the Baxter manipulator. The effectiveness and superiority of the
   improved algo-rithm are determined by comparing it with the existing
   algorithms. (c) 2023 The Authors. Published by Elsevier B.V. on behalf
   of King Saud University. This is an open access article under the CC
   BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",JOURNAL OF KING SAUD UNIVERSITY COMPUTER AND INFORMATION SCIENCES,,Article,10.1016/j.jksuci.2023.101650,,,,"Gao, Qingyang and Yuan, Qingni and Sun, Yu and Xu, Liangyao",,51.0,WOS:001141249800001,,,paper,path planning algorithm of robot arm based on improved rrt and bp neural network algorithm,10.1016/j.jksuci.2023.101650,https://doi.org/10.1016/j.jksuci.2023.101650,https://doi.org/10.1016/j.jksuci.2023.101650,164.317,citations=51; year=2023; risk_terms=1; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.jksuci.2023.101650,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S1319157823002045,text/html;charset=UTF-8,
,2021,"Anti-saturation adaptive finite-time neural network based fault-tolerant
   tracking control for a quadrotor UAV with external disturbances","This brief is focused on the finite-time tracking control of the
   quadrotor unmanned aerial vehicle (UAV) subject to external
   disturbances, parametric uncertainties, actuator faults, and input
   saturation. According to the principle of the Euler-Lagrangian
   methodology, a comprehensive dynamics is first decomposed into the
   position and attitude subsystems to accommodate the controller design.
   Different from the most of previous studies with an ideal assumption
   that velocity information is available, a robust exact differentiator is
   employed to gain the precise information of unavailable velocity in
   finite time. Then, by utilizing the strong approximation of the radial
   basis function neural network (RBFNN), the NN-based fault-tolerant
   control scheme is proposed to compensate for parametric uncertainties,
   external disturbances and actuator faults. More importantly, a novel
   adaptive mechanism is responsible for automatically adjusting the NN's
   parameters, which not only can effectively avoid the selection of large
   adaptive gains, but can also greatly decrease the number of
   online-updated leaning parameters. To solve the input saturation
   problem, an auxiliary dynamics system is constructed. Based on the
   Lyapunov theoretical framework, it is proved that all the closed-loop
   signals are uniformly ultimately bounded and the tracking errors can
   converge into small neighborhoods around the origin in finite time.
   Finally, simulation results are verified to intuitively reveal the good
   tracking performance of the introduced composite controller in terms of
   the finite-time error convergence, strong robustness, fault tolerance,
   and saturation elimination. (C) 2021 Elsevier Masson SAS. All rights
   reserved.",AEROSPACE SCIENCE AND TECHNOLOGY,,Article,10.1016/j.ast.2021.106790,,,,"Liu, Kang and Wang, Rujing and Wang, Xiaodong and Wang, Xingxian",,139.0,WOS:000663683100006,,,paper,anti saturation adaptive finite time neural network based fault tolerant tracking control for a quadrotor uav with external disturbances,10.1016/j.ast.2021.106790,https://doi.org/10.1016/j.ast.2021.106790,https://doi.org/10.1016/j.ast.2021.106790,164.183,citations=139; year=2021; risk_terms=2; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.ast.2021.106790,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S127096382100300X,text/html;charset=UTF-8,
